product_id,img_path,brand,name,color1,color2,price_og,price_resell,n_scrap,+price,tokenized_color,tokenized_bn
28029,crawling\product_crawling\image\28029.jpg,Nike,Nike Dunk Low Retro Black,WHITE,BLACK,129000,152800,123000.0,23800,[0 0 0 0 0 0 0 0 0 0 2 4 3 5],[ 0  0  0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 32 14 15 10]
12831,crawling\product_crawling\image\12831.jpg,Nike,Nike Air Force 1 '07 Low White,WHITE,WHITE,139000,136200,151000.0,-2800,[0 0 0 0 0 0 0 0 0 0 2 4 3 4],[ 0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 16 30 12 42 14 11]
21935,crawling\product_crawling\image\21935.jpg,Nike,Nike Air Force 1 '07 WB Flax,FLAX,GUM,169000,173200,69000.0,4200,[ 0  0  0  0  0  0  0  0  0  0  2 82  3 51],[ 0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 16 30 12 42  1  1]
44653,crawling\product_crawling\image\44653.jpg,Nike,Nike x Supreme Air Force 1 Low Flax,FLAX,FLAX-GUM LIGHT BROWN,184600,281400,27000.0,96800,[ 0  0  0  0  0  0  0  2 82  3 82 51 14 22],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4  9  1 16 30 12 14  1]
89548,crawling\product_crawling\image\89548.jpg,Nike,Nike Zoom Vomero 5 PRM Light Iron Ore and Flat Fewter,LIGHTT IRON ORE,METALLIC SILVER,209000,258000,5810.0,49000,[ 0  0  0  0  0  0  0  2  1  1  1  3 15 13],[ 0  0  0  0  0  0  0  2  4  3  4 57  1 43  1 54  1  1 41  1  1]
92597,crawling\product_crawling\image\92597.jpg,Nike,Nike Air Force 1 '07 Black White,BLACK,WHITE,139000,165200,9018.0,26200,[0 0 0 0 0 0 0 0 0 0 2 5 3 4],[ 0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 16 30 12 42 10 11]
94650,crawling\product_crawling\image\94650.jpg,Nike,Nike Zoom Vomero 5 SP Vast Grey 2023,VAST GREY,VAST GREY,189000,220600,1627.0,31600,[0 0 0 0 0 0 0 0 2 1 6 3 1 6],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4 57  1 43 44  1 17  1]
80149,crawling\product_crawling\image\80149.jpg,Nike,Nike Air Force 1 '07 LV8 40th Anniversary Join Forces Sail Malachite,SAIL,MALACHITE,139000,143800,33000.0,4800,[ 0  0  0  0  0  0  0  0  0  0  2 12  3  1],[ 0  0  0  0  0  0  2  4  3  4 16 30 12 42  1  1  1  1  1 79  1]
50694,crawling\product_crawling\image\50694.jpg,Nike,Nike Dunk Low Retro Wolf Grey,PURE PLATINUM,WHITE,129000,253800,68000.0,124800,[ 0  0  0  0  0  0  0  0  0  2 34 44  3  4],[ 0  0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 32 14 15  1 17]
88045,crawling\product_crawling\image\88045.jpg,Nike,Nike x Sacai Zoom Cortez SP Iron Grey,IRON GREY,WHITE,219000,308000,8344.0,89000,[0 0 0 0 0 0 0 0 0 2 1 6 3 4],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4  9  1 57  1 44  1 17]
78768,crawling\product_crawling\image\78768.jpg,Nike,Nike Air Force 1 '07 LV8 Midnight Navy,SAIL,MIDNIGHT NAVY,139000,255600,25000.0,116600,[ 0  0  0  0  0  0  0  0  0  2 12  3 35 17],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4 16 30 12 42  1  1 38]
23632,crawling\product_crawling\image\23632.jpg,Nike,Nike x Supreme Air Force 1 Low White,WHITE,WHITE-WHITE,145200,246000,50000.0,100800,[0 0 0 0 0 0 0 0 0 2 4 3 4 4],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4  9  1 16 30 12 14 11]
75302,crawling\product_crawling\image\75302.jpg,Nike,Nike x Tom Sachs General Purpose Shoe Archive,DARK SULFUR,WHITE,129900,273600,23000.0,143700,[ 0  0  0  0  0  0  0  0  0  2 21  1  3  4],[0 0 0 0 0 0 0 0 0 0 2 4 3 4 9 1 1 1 1 1 1]
94652,crawling\product_crawling\image\94652.jpg,Nike,Nike Zoom Vomero 5 SP Anthracite 2023,ANTHRACITE,ANTHRACITE,189000,220400,842.0,31400,[ 0  0  0  0  0  0  0  0  0  0  2 55  3 55],[ 0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 57  1 43 44  1  1]
74799,crawling\product_crawling\image\74799.jpg,Nike,Nike Dunk Low Retro SE Jackpot Malachite,PALE IVORY,BLACK,139000,260400,31000.0,121400,[ 0  0  0  0  0  0  0  0  0  2 83 64  3  5],[ 0  0  0  0  0  0  0  0  0  0  0  2  4  3  4 32 14 15 40  1  1]
49016,crawling\product_crawling\image\49016.jpg,Nike,Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,BLACK,DARK SULFUR-WHITE-BLACK,139000,271400,43000.0,132400,[ 0  0  0  0  0  0  0  2  5  3 21  1  4  5],[ 0  0  0  0  0  0  0  2  4  3  4 16 30 12 42  1  1  1 10 61  1]
64170,crawling\product_crawling\image\64170.jpg,Nike,Nike Air Force 1 Mid '07 QS Chocolate,CHOCOLATE,CREAM,179000,251200,10000.0,72200,[ 0  0  0  0  0  0  0  0  0  0  2  1  3 32],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4 16 30 12 34 42  1  1]
23626,crawling\product_crawling\image\23626.jpg,Nike,Nike x Supreme Air Force 1 Low Black,BLACK,BLACK-BLACK,145200,243800,25000.0,98600,[0 0 0 0 0 0 0 0 0 2 5 3 5 5],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4  9  1 16 30 12 14 10]
73952,crawling\product_crawling\image\73952.jpg,Nike,Nike x Sacai Zoom Cortez SP White and University Red,WHITE,UNIVERSITY RED,219000,283400,11000.0,64400,[ 0  0  0  0  0  0  0  0  0  2  4  3 19  7],[ 0  0  0  0  0  0  0  0  2  4  3  4  9  1 57  1 44 11 41 89 27]
89856,crawling\product_crawling\image\89856.jpg,Nike,Nike x Stussy Air Penny II Vivid Green and Black,VIVID GREEN,BLACK,246200,262400,2479.0,16200,[ 0  0  0  0  0  0  0  0  0  2  1 11  3  5],[ 0  0  0  0  0  0  0  0  2  4  3  4  9  1 16  1  1  1 28 41 10]
72745,crawling\product_crawling\image\72745.jpg,Nike,Nike Dunk Low Retro SE Jackpot Grey Fog,GREY FOG,LIGHT CRIMSON,139000,269600,26000.0,130600,[ 0  0  0  0  0  0  0  0  2  6 62  3 14 45],[ 0  0  0  0  0  0  0  0  0  0  2  4  3  4 32 14 15 40  1 17  1]
80145,crawling\product_crawling\image\80145.jpg,Nike,Nike Air Force 1 '07 LV8 40th Anniversary Join Forces White Black,WHITE,BLACK,139000,136400,16000.0,-2600,[0 0 0 0 0 0 0 0 0 0 2 4 3 5],[ 0  0  0  0  0  0  2  4  3  4 16 30 12 42  1  1  1  1  1 11 10]
95258,crawling\product_crawling\image\95258.jpg,Nike,Nike Zoom Mercurial Vapor 15 Pro TF White Pink Blast,WHITE,PINK BLAST,139000,217000,274.0,78000,[ 0  0  0  0  0  0  0  0  0  2  4  3 33  1],[ 0  0  0  0  0  0  0  0  2  4  3  4 57  1  1  1 70  1 11 85  1]
